threads,time
1000,6.813
1000,8.463999999999999
1000,10.415000000000001
1000,11.674999999999999
1000,12.145
1000,0.69
1000,13.947
1000,0.76
1000,0.694
1000,0.73
1000,0.763
1000,0.639
1000,0.6809999999999999
1000,0.704
1000,0.699
1000,0.717
1000,0.665
1000,1.0939999999999999
1000,1.13
1000,23.939
1000,0.714
1000,0.684
1000,0.816
1000,27.579
1000,32.909
1000,28.461
1000,0.9940000000000001
1000,30.875
1000,0.6539999999999999
1000,0.639
1000,1.002
1000,39.318
1000,34.081
1000,0.905
1000,0.861
1000,0.905
1000,0.9129999999999999
1000,0.9610000000000001
1000,39.504999999999995
1000,1.0510000000000002
1000,47.564
1000,41.339
1000,0.9460000000000001
1000,1.0959999999999999
1000,1.001
1000,52.36
1000,0.9039999999999999
1000,1.028
1000,47.579
1000,0.643
1000,0.7919999999999999
1000,0.895
1000,0.9430000000000001
1000,60.516
1000,60.688
1000,52.278
1000,0.6719999999999999
1000,0.785
1000,0.644
1000,55.067
1000,0.928
1000,0.914
1000,0.907
1000,0.8899999999999999
1000,0.874
1000,72.04599999999999
1000,1.0790000000000002
1000,1.0050000000000001
1000,64.178
1000,64.49499999999999
1000,0.776
1000,0.954
1000,0.82
1000,0.88
1000,0.749
1000,0.695
1000,0.6679999999999999
1000,70.823
1000,0.837
1000,0.79
1000,0.9610000000000001
1000,74.491
1000,0.652
1000,0.6539999999999999
1000,1.047
1000,0.888
1000,0.852
1000,0.865
1000,0.9560000000000001
1000,1.0230000000000001
1000,82.471
1000,82.86
1000,0.9420000000000001
1000,85.34
1000,0.7380000000000001
1000,0.6980000000000001
1000,0.7110000000000001
1000,0.6579999999999999
1000,88.81
1000,0.6539999999999999
1000,0.6449999999999999
1000,0.643
1000,0.627
1000,0.699
1000,0.627
1000,0.646
1000,0.652
1000,0.622
1000,0.639
1000,95.35000000000001
1000,96.106
1000,0.703
1000,0.656
1000,0.63
1000,0.745
1000,0.717
1000,0.7150000000000001
1000,0.828
1000,0.718
1000,0.794
1000,102.559
1000,0.8069999999999999
1000,0.678
1000,0.656
1000,0.66
1000,0.6930000000000001
1000,107.01299999999999
1000,0.694
1000,0.885
1000,0.703
1000,1.0230000000000001
1000,0.778
1000,0.703
1000,0.6859999999999999
1000,0.8019999999999999
1000,0.7290000000000001
1000,0.6930000000000001
1000,115.158
