threads,errors,overloads,max,min,avg,cpu_count,cpu_percent,memory_percent,disk_io_read,disk_io_write
500,0,0,313.95099999999996,0.6679999999999999,122.524658,2,41.3,9.0,301449,3545973
1000,0,29,1214.512,0.772,322.91946499999995,2,64.6,9.3,301449,3545973
1500,0,252,2085.149,0.625,776.1149033333334,2,67.9,9.7,301449,3545975
2000,0,262,2829.604,0.838,1279.5538935,2,73.4,10.0,301449,3545988
2500,0,550,3804.4669999999996,0.662,1825.8183491999998,2,82.4,10.4,301449,3545988
3000,0,726,4360.133,0.603,2103.481564,2,91.5,10.7,301449,3545990
3500,0,854,5317.936000000001,0.691,2739.512314857143,2,95.8,11.1,301449,3545998
4000,0,1149,6329.167,0.625,3119.1142375,2,95.9,11.4,301449,4211345
4500,0,1305,6302.869000000001,0.661,3299.6257333333333,2,95.5,11.8,301449,4211360
5000,0,1443,7414.644,0.683,3592.7691659999996,2,96.7,12.1,301449,11088157
5500,0,1318,8754.167000000001,0.656,4257.284814545454,2,96.7,12.3,301449,49855475
6000,0,1516,8673.464,0.696,3472.1625383333335,2,95.5,11.8,301449,49855485
6500,0,1692,10059.817000000001,0.673,4445.254157846154,2,96.3,12.2,301449,49855497
7000,0,1837,9503.244999999999,0.707,2846.274977857143,2,88.5,11.5,301449,49855509
7500,0,2122,10381.649,0.661,3864.2771848,2,94.4,12.4,301449,61775465
8000,0,2221,10964.573,0.675,3395.3912801249994,2,87.3,12.2,301449,62960879
8500,0,2149,12567.384,0.657,3777.464852117647,2,95.9,12.1,301449,62960881
9000,0,2627,13866.332999999999,0.712,4152.364273111111,2,96.2,12.4,301449,62960907
9500,0,2694,15869.331,0.6849999999999999,4449.109991157895,2,99.9,12.4,301449,71041632
10000,0,2859,15116.439,0.6679999999999999,4090.0533508000003,2,95.5,12.5,301449,95617688
10500,0,2817,14599.774,0.666,3602.0439734285715,2,96.2,12.4,301450,95617690
11000,0,3003,16205.911,0.679,3547.2120711818184,2,95.3,12.3,301450,96064203
11500,0,3058,15376.544000000002,0.671,3398.703727652174,2,97.6,12.3,301450,110202487
12000,0,3292,13919.734999999999,0.6819999999999999,3293.9979118333326,2,94.2,12.2,301450,110202498
12500,0,3294,18276.385000000002,0.678,4338.5733036,2,95.1,12.8,301450,115192510
13000,0,3776,120750.33,0.6849999999999999,23959.371951,2,99.9,13.2,301450,142735702
13500,0,3738,16050.920999999998,0.7110000000000001,3682.838554962963,2,94.9,12.7,301450,180927490
14000,0,3978,128041.62199999999,0.6809999999999999,24434.6188425,2,100.0,12.7,301450,218770696
14500,0,4162,23852.803,0.673,4448.986521586207,2,97.9,12.9,301450,243055379
15000,0,4131,12986.515000000001,0.674,2599.5065599333334,2,95.6,12.6,301450,277722536
15500,0,4614,51068.464,0.633,7255.161571419354,2,100.0,13.9,301450,282386298
16000,0,4785,13247.292,0.626,2356.433201,2,100.0,14.4,301450,295780840
